"","GSM492649","GSM525014","GSM525015","GSM525016","GSM492653","GSM492654","GSM492655","GSM492656","GSM533622","GSM533623","GSM533624","GSM533625","GSM533626","GSM533627","GSM533628","GSM533629","GSM533630"
"KLHL21",73.0051544736371,142.60378641711,137.655000758755,185.949098127068,152.478511213682,127.971600782,117.269464168384,152.302040810002,175.670556231017,136.538712853933,309.960613619418,276.38566844001,107.472578099204,70.4599788759132,147.460460646565,144.969746013824,140.08465798244
"SV2A",1052.89396447687,781.318007857879,541.149732988819,614.031728258475,361.302039302687,407.353070420642,315.626478159915,324.92307281655,410.132429981496,449.728674508768,123.395077972648,77.4922613009966,404.725220047655,552.295469183069,1078.59615694975,306.822187872108,773.743223259357
"SEMA3B",35.1622074324767,43.7314314127747,28.194310058515,27.6847908422707,30.0591859556565,28.1221951925534,31.1973902037082,28.917638202717,24.8190362031217,28.4418928760613,30.0591859556565,30.0591859556565,22.9142925331414,32.8767906939349,28.7478516260445,26.5914932566173,31.6057067334481
"MYO1E",63.6000185202578,85.6897679955119,58.7930180642011,223.654980479158,52.9079114203718,45.0422938163975,54.5362748345095,89.401530847861,76.0748839948205,149.689299469008,229.612474970197,242.104194983786,90.6816417447921,67.2303120654701,74.7178015282041,143.147602130068,97.4607457815057
"BAZ2B",162.254392698829,150.04778369439,178.561210843386,305.504000079549,988.8608628321,663.142843447511,746.395760958123,930.478509890923,964.315740975338,554.380163198134,409.470777788662,351.202180780211,654.007921655629,857.319799348251,594.401024497725,576.184392243864,109.431053817336
"CTNNBIP1",317.596156949746,261.735232459027,310.585127362125,331.877634576825,335.06674518504,377.708391813386,315.243215773276,437.397740723428,266.849815927859,325.63631120249,272.182724369538,261.743858075182,266.60034612218,307.863289812921,364.118773053111,296.687676180382,366.637995835915
"BMS1",134.790217305784,235.95774580911,222.962450818137,271.71380400857,179.949098129809,171.025823368135,218.95485680142,216.125568714452,270.928603656589,219.5869112865,208.772627537984,209.405986831391,216.125568714452,261.283913956922,201.399733910853,216.940126983158,281.384456304651
"THBS2",108.725358384404,218.084396944864,194.364226676599,516.298267630456,184.172340143143,182.713833735123,145.464355150602,314.432487433664,204.184014509858,223.955755125445,75.0138147737558,79.2323356731465,582.400164006956,213.906668205018,304.733483737741,206.419686361515,465.772627537982
"FBLN5",132.419731713722,199.595792356451,150.710034469808,160.263007525741,89.7294858742878,132.419731713722,128.114906166465,83.6666147325938,75.1837048600881,692.478509890923,4082.12556871446,3077.89027459681,132.686956245121,71.8152792456457,132.419731713722,573.360862832099,123.653000392702
"SDF2",197.302039302736,366.21480743556,319.756276593742,329.909048245574,176.748883468956,178.419686367251,200.446570596376,180.244672634918,178.893799985034,215.221953746047,273.537333420334,182.00160894214,205.949098126221,211.928776604915,173.292032290981,241.302053277191,280.199630876627
"MAD2L1BP",145.636667696934,397.360862832099,338.711706810718,321.136022940667,149.855701146981,155.085439855857,176.110418773503,185.890274597656,174.612701591416,187.089760198365,184.377848519377,140.302051932924,198.652161071523,249.407080836579,180.905516623111,184.578304960613,255.995062282211
"MTIF2",99.9159948408442,320.159034627158,346.811428322416,332.419855319944,182.357127050641,139.302053535667,200.22197085319,201.787326060482,191.886232693469,184.224588415088,132.946165050754,193.739034140477,241.48080125491,177.419686368213,193.360862832235,205.243215773281,165.501951113846
"PRPF19",372.624723018823,682.166805680634,639.615402042917,527.651185702713,444.047934863061,453.265305504684,403.269976543686,468.597861459713,457.892523343101,615.611925988047,638.772627537982,1228.5782228133,514.035982333503,579.338570130836,714.953424106708,598.688407431561,822.363193494649
"CSF1R",266.535707070146,274.98257748362,201.496042407879,421.66570982179,1344.3608628321,815.719097296175,1634.79804690852,705.09148128173,634.871101722989,437.360862832099,559.093185763503,430.322661967281,552.741007649624,379.636264898203,476.419686361511,350.551541348177,598.248358059726
"GPRC5A",49.7138631508219,30.2543519094331,28.9949153552992,22.2478926638992,29.8034425258543,37.86915819586,40.7306526834625,28.3584643368615,28.9379038240421,28.7097278612408,34.2847032988008,51.4890291737093,26.0493195736831,20.2667432061329,27.4611903483762,26.7481427371222,25.9153522666574
"UBE2M",401.057710229155,979.063085559178,1129.69049192384,875.788460146302,332.155954540703,536.416553838609,423.416038551024,432.125568714452,196.414181663292,461.069849457541,390.833127218957,635.580917234656,220.074045061779,284.72995539528,616.845907270369,350.084941769156,448.390274596805
"PTK2B",180.64869488371,145.847833504324,152.588742214827,169.296630485738,92.7583068103398,125.58048214136,97.0757450667306,106.415465787398,78.1604448059534,122.302268974795,112.950018350893,91.1295762571598,78.0880632871947,119.105559711603,227.358883991726,85.0822431342188,129.333502493149
"SSSCA1",63.8612026416352,155.719397166125,133.713844504198,162.127156944395,53.3811639147963,80.7067549102214,70.5930156317335,66.7037967137191,71.1086014029833,109.244685260172,169.474742897777,173.121145281656,111.438823782001,96.4104694127083,90.434183948247,124.221989604158,158.189600614413
"PAN2",64.4401115581828,82.0795551921007,95.4313005002815,162.125568912824,236.365512359061,131.575285687807,253.378280164734,235.329483818008,252.949098126217,209.767663433626,155.373192201047,296.628329580992,270.768075951265,298.249948933095,213.426374185666,193.581932926411,347.395289149063
"CCDC86",187.59615695036,200.596156949766,180.985739880355,213.897525218985,126.93781533545,167.772627601416,167.772627601416,125.994819388277,156.048752581852,166.549009786751,167.772627601416,220.3544338599,174.125568728857,135.259354241988,150.513612982022,146.105142762625,236.676081141294
"TP53BP2",245.71380400857,839.46068631093,1364.9743675176,1004.95473679703,812.654980479158,898.736642102392,631.184392243864,1042.91092554973,753.925187275846,666.553688397426,680.041500859357,313.402649683346,875.949098126218,617.716500191289,868.440086796023,664.762294863423,651.47807285727
"TRAPPC12",150.821494996441,225.915161923869,235.733523594476,299.447644150001,299.947477553252,280.360862832099,262.932672831441,327.906620641984,295.241333136765,360.255070671743,212.859170305261,298.069386418074,323.607862449389,378.666001179477,265.408854709979,308.868822204676,307.508363612485
"IMPA2",34.0348236461294,97.0463388324443,104.462367368959,89.4715386940349,33.7640831045407,46.4828137058164,60.2063292612573,44.0339158296701,34.8700299112728,50.2686636001943,51.4749544233111,73.5315441264502,34.9138293061026,46.5786440454478,41.6651014851545,49.3112863722004,44.6635504697975
"KIF5C",770.568422271781,1189.24321577327,1054.50676903664,626.380964075047,212.419686361511,560.186586428215,122.596386313714,387.632726457534,195.26185487574,399.892183959744,153.885871380183,63.8178777031182,467.149948223941,369.785148402194,675.72067209787,371.976235804559,520.299156833273
"TBP",116.030714294119,277.626611444217,217.831451067393,284.746205635062,190.537333420651,197.044947478773,187.948193219791,217.831451067393,242.283059340899,217.831451067393,170.179578531908,201.925951009166,252.068593783859,354.137450384349,184.169178884419,225.163773789271,248.468176883048
"RABAC1",466.244800635627,1408.87086009509,1083.74693139566,1308.01276543306,760.940377566578,860.832894818424,818.419686361511,816.502735341371,904.891362717028,850.664660150377,702.79392107607,699.330166860374,473.695121265711,484.383553465689,890.143352165247,799.243215773275,828.243215773276
"HAT1",43.3088318762198,419.376533005349,576.323344983951,545.703122955688,316.942078155101,273.60116657582,312.633322719801,341.14243414362,313.936255176175,417.413228222189,601.978284392294,761.737853776142,355.863097346634,292.418891473071,274.794239211035,526.404702315088,115.442640464125
"KIAA0040",56.3434653193061,37.8523368916074,46.5659792073471,37.4805597171824,57.1007603054016,40.7642473388065,48.2804213516641,38.8738014034419,44.4907106114007,43.6649839837032,100.242011573542,51.4616679938982,46.5659792073471,44.9513085438348,46.5659792073471,44.8455554050846,45.9401289920505
"SPAG5",77.442512933301,64.9437765006178,56.2091396943351,61.8914486146259,51.7720153936837,63.5843702165263,49.6589510011314,54.470892177884,56.0297941332152,50.4489402246716,55.918850251859,48.4675202035052,62.4886137800858,62.4969254013866,62.4051317821018,63.2131260201312,108.606334394385
"MRPL40",174.191641487684,469.640342205915,462.599082642349,587.749975396227,341.537333420334,325.243215773275,453.074473350174,360.224340664319,390.519231015996,442.419686361511,386.737810673999,433.286303843922,393.753084357911,342.329371145741,360.89707293471,505.240908864476,424.892981982346
"IFIT1",188.317705019826,981.828218342519,1024.4887305916,1132.21024552567,552.840181238928,760.063149531388,718.086508918299,481.794253027242,326.360862832099,682.821683959287,342.596156949746,447.596156949746,414.029120391415,348.092716574542,452.053988392922,869.007921655628,476.133448260072
"PAK4",403.143001585566,167.277436342286,133.713844504198,198.904790014259,209.532762422741,245.164139610299,249.3777684092,219.058298158586,220.567626004055,273.12882085704,295.544984958339,280.013436066242,195.277999437762,193.4708202763,190.120100674666,201.658057021951,214.750285707622
"GLS",217.92821359797,266.821071295287,243.431595435724,143.943368993853,67.1646677254099,123.037897957386,57.318839522846,83.4839357868773,75.4935824165961,77.2350330378449,62.0813387707659,67.7889907968121,75.1932502679668,84.9313802775817,254.772627537981,69.0220346032808,68.5188315995903
"RGP1",73.1530075010512,188.831451067834,188.125568714972,203.80600992477,124.276888563652,123.692105835341,110.308959298712,134.259633982784,150.6065134418,152.202990481655,116.56135735241,174.978052803585,132.962124193606,164.487607487529,142.767389300664,113.004260084894,168.538001026744
"RRP8",18.5799925393512,16.2300569964043,14.188416214305,30.1285299588241,14.225754786997,12.3739313225331,12.4116829539532,13.0778975448574,14.7158108850026,14.2756455861376,9.76142194834831,11.245716158525,15.2930345647872,15.5652458347992,12.4587335617156,14.2856592051426,17.534294913551
