"","GSM160404","GSM160424","GSM160427","GSM160428","GSM160429","GSM160353","GSM160358","GSM160362","GSM160391","GSM160405"
"LPXN",353.898758169296,212.175631744305,291.624898112886,227.534463584411,248.694055948381,349.247499297189,283.044548688611,425.422586622666,343.086267352782,325.556958976596
"TTLL12",318.018676851244,269.405980128178,830.473368338224,287.987405632718,417.290176902096,529.422674539931,1003.91937448791,792.525184482991,442.322348287835,402.145975689253
"LAMB2",841.883096850414,1018.80995970807,1218.49059727035,1171.91667793053,1265.44862120371,1110.29304993751,512.179441806843,659.475013964214,834.895830937604,808.663552919936
"MYH7",27.8394374864616,30.7576284719921,29.5641842796083,347.281055916973,437.646319980583,28.9319625526174,28.4003301275334,26.3594963206166,27.1020111571383,34.0391628310926
"TMEM115",223.927309054798,176.206760867293,234.284381596789,114.87710861295,164.39992343131,247.983853905222,226.764956032738,287.631362741471,229.950299090736,255.779332820928
"SYDE1",67.1884242429455,50.0543529686544,52.5439477831744,54.152970040695,60.3938168312973,70.9824593327069,60.9413172660453,62.2484136116761,65.2359429856038,71.3666132383485
"CYSLTR1",17.2326448807952,23.0205849775861,29.157249845334,23.9171731810821,22.9774916001449,19.6794274331731,21.1447103230574,21.9586029936356,18.8840158264216,19.6388636167647
"ADGRD2",49.6707232395774,150.711947665891,116.898240908613,143.322895940783,113.642909018097,85.1940544508267,57.9997464523672,65.8295387452602,59.9095805863875,48.1882327444798
"XRCC3",53.7633756277528,64.6331562454289,91.416380855135,52.980645004865,75.544713187158,62.2615173594404,71.3250181324008,76.1865533229644,64.6927153971644,64.8925272444621
"DGKB",12.9033403368935,17.8618035010481,15.2956711206632,32.8155521678178,20.2565790294099,13.9008406119227,14.0249720579466,14.9813447486027,14.1984266075719,16.0046274771516
"TAOK1",204.582590423631,317.850718789476,331.121904282655,334.912189111909,287.238207206515,209.548426110262,216.853004532677,268.405862342444,271.627960661429,227.837003013086
"OVOL3",55.3951214485278,70.0427811772187,70.4203283283099,60.3501715866374,61.4999234418933,56.9305915042516,57.1775048905083,58.1777275569631,51.0261537966363,58.9727297985626
"HDAC3",676.153677134664,527.228051838948,720.879441806844,524.650447951586,606.369856304893,640.370218120162,722.40945228212,647.411298823552,655.064217536429,717.061434172804
